,city,lat,lon,countries,humidity,cloudiness,max_temp,wind_speed
398,Corrente,-17.45,-44.68,BR,75,51,71.65,13.04
399,Goundam,16.42,-3.66,ML,18,75,84.11,10.83
400,Mundgod,14.97,75.04,IN,93,19,67.48,2.19
401,Kargopol,61.51,38.95,RU,95,100,24.69,10.78
402,Salinopolis,-0.61,-47.36,BR,81,53,81.0,19.69
403,Shimanovsk,52.0,127.67,RU,71,0,19.67,9.51
404,Katima Mulilo,-17.5,24.28,NA,60,100,71.6,3.36
405,Kysyl-Syr,63.9,122.77,RU,94,100,20.91,10.31
406,Porto Belo,-27.15,-48.54,BR,83,75,77.0,9.17
407,Makakilo City,21.35,-158.09,US,61,75,84.99,6.76
408,Ruteng,-8.61,120.46,ID,62,40,78.84,0.96
409,Stonewall,50.13,-97.33,CA,64,90,36.0,11.41
410,Havre-Saint-Pierre,50.23,-63.6,CA,58,1,32.0,3.36
411,Kundian,32.46,71.49,PK,54,34,70.43,1.12
412,Kungurtug,50.6,97.53,RU,60,58,32.9,3.2
413,Klaksvik,62.23,-6.59,FO,75,100,41.0,24.16
414,Muroto,33.37,134.14,JP,82,75,57.2,6.93
415,Kieta,-6.22,155.63,PG,89,100,78.39,6.15
416,Bolgatanga,10.79,-0.85,GH,46,36,80.6,6.46
417,Luganville,-15.51,167.18,VU,74,75,80.6,17.22
418,Srebrenica,44.11,19.3,BA,76,100,57.2,4.7
419,Tomatlan,19.93,-105.25,MX,92,6,78.57,2.15
420,Barguzin,53.62,109.63,RU,88,25,23.04,7.36
421,Porbandar,21.64,69.61,IN,74,0,81.45,14.5
422,Semirom,31.41,51.57,IR,57,0,29.19,1.07
423,Tabou,4.42,-7.36,CI,96,18,74.66,3.53
424,Port Hedland,-20.31,118.58,AU,35,5,69.8,9.17
425,Luxeuil-les-Bains,47.82,6.38,FR,93,100,51.8,10.29
426,Ust-Tsilma,65.44,52.15,RU,96,5,11.12,3.38
427,Amga,60.89,131.98,RU,85,76,5.05,3.38
428,Barra do Corda,-5.5,-45.25,BR,62,19,80.22,4.74
429,Tommot,58.97,126.27,RU,72,70,8.74,2.77
430,Evensk,61.92,159.24,RU,92,100,29.37,9.46
